,Question
139,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N<sup>2</sup> operations. Algorithm B performs 10N operations. Under what conditions does algorithm A offer better performance?</p>
140,"
<pre lang=""text/x-java"">1.  public BallPanel extends javax.swing.JPanel {
2.     private Ball[] _balls;
3.     public BallPanel(int numberOfBalls){
4.        ??????
5.        for (int i=0;i&lt;_balls.length;i++)
6.           _balls[i] = new Ball();
7.     }
8.  }
</pre>
<p>&nbsp;</p>
<p>We need to add something at line 4 above to avoid an error in line 5.&nbsp; Which of the following line 4 expressions fix the error in line 5?</p>
"
141,"
<p>Which of the following makes an appropriate pre-condition for this code?<br>double calculate_percentage(double sum, double n)<br><code>{</code></p>
<pre lang=""text/x-c"">    // calculates and returns a percentage given a sum and a length (n)
    // &lt;missing pre-condition&gt;
    // POST: none
    return (sum / n) * 100;
}
</pre>
"
142,"
<p>Consider writing a program to be used by a farm to keep track of information about the fruits and vegetables they sell. For each sale, they would like to keep track of the type of item (eggplant, tomato, etc.), the quantity sold, the price, and the market at which the sale was made. Which of the following is the best way to represent the information?</p>
"
144,"
<p>Suppose you are writing a Java program to be used to manage information about the inventory in a store. The store&rsquo;s products include pagers, cell phones, and cameras. The cell phones are used for both communication and taking pictures, the pagers are only used for communication, and the cameras are used for taking pictures.</p>
<p>Assume that a <code>Product</code> class has been defined. Which of the following is the best way to represent the remaining data?</p>
"
145,"
<p>Consider the following short program, which does not meet all institutional coding standards:</p>
<p>void vCodeString(char szText[ ]); /* First line */</p>
<p>#include &lt;stdio.h&gt;</p>
<p>#include &lt;string.h&gt;</p>
<p>#define MAX_LEN 12</p>
<p>int main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; char szData[MAX_LEN];</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Enter some text to code: "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; scanf(""%s"", szData);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; vCodeString(szData); /* Line 8 */</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Coded string is %s\n"", szData);</p>
<p>}</p>
<p>void vCodeString(char szText[ ])</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = -1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while(szText[++i])</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; szText[i] += (char)2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>I would like to combine lines 8 and 9 into</p>
<p>printf(""Coded string is %s\n"", vCodeString(szData));</p>
<p>Unfortunately, this gives me a syntax error. Why?</p>
"
146,<p>The binary value 11011101 when coverted into a decimal value from two's complement notation is:</p>
147,"
<p>Note draft only topics and explanation tba</p>
<p>Consider the following short program:</p>
<p>#include &lt;stdio.h&gt;</p>
<p>void f1(void);</p>
<p>int a;</p>
<p>void main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b = 1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; f1();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""%d %d"", a, b);</p>
<p>}</p>
<p>void f1(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b = 3;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b;</p>
<p>}</p>
<p>The output from the print statement will be:</p>
"
148,<p>Finding the minimum value in a complete and&nbsp;balanced binary search tree is</p>
149,<p>An interface in Java can appropriately be used to model</p>
150,"<p>Suppose you are defining a Java&nbsp;<code>ProductItem</code> class to store information about the inventory in a store, and you want to give the class an instance variable for the number of those items currently in stock. Choose the best datatype for modeling this number:</p>"
151,"
<p>Suppose you have a tree with a maximum depth of d and an average branching factor of b (i.e. each node has b children).&nbsp; You are searching for a particular node S located at depth m (m &lt;= d).&nbsp; You don't know where the node S is located, just that it is at depth m.</p>
<p>What is an upper bound on the runtime complexity of breadth-first search (i.e. big-O notation) to find the node S starting from the root?</p>
"
152,"
<p>What wil the following code print, assuming that N is a positive integer?</p>
<pre lang=""text/x-java"">int count=0;
for (int i=0; i&lt;<strong>N</strong>; i++) {
   if (i % 2 == 0) {
      count++;
   }
}
System.out.println(count);
</pre>
"
153,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs (N/2)<sup>3</sup> operations. Algorithm B performs N<sup>2</sup> operations. Under what conditions does algorithm A offer strictly better performance?</p>
154,"
<p>Identify the bug in the following Java code (if any):</p>
<p><br><code>public boolean search(T item,ListADT&lt;T&gt; list){ // 1</code></p>
<pre lang=""text/x-java"">   if (list == null) // 2
      return false; // 3
   else if (list.first()==item) // 4
      return true; // 5
   else // 6
      return this.search(item, list.rest()); // 7
} // 8
</pre>
"
155,<p>Suppose QueueADT is implemented using a singly linked list. What is the lowest Big-Oh time complexity that can be achieved for an enqueue&nbsp;method?:</p>
156,<p>What terminates a failed linear probe in a full hashtable?</p>
157,<p>Which of the following assertions is <em>incorrect</em>?</p>
158,"
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
   this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends:</p>
<p>n1 == n2</p>
"
159,<p>What is<strong> not</strong> a property of a max-heap?</p>
160,<p>Barack Obama wants to know the most efficient way to sort a million 32-bit integers. He knows it&rsquo;s not bubble sort. What is?</p>
161,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 2</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
162,<p>You are writing a depth-first search on a platform that doesn't support recursion. What data structure can help you complete your task?</p>
163,<p>The worst-case time complexity of radix sort is:</p>
164,<p>A chained hash table has an array size of 512. What is&nbsp;the maximum number of entries that can be placed in&nbsp;the table?</p>
165,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 6</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
166,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; y[bestSoFar] )       // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
167,<p>What is the size of the largest max-heap which is also a BST?</p>
168,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = i;&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
169,"
<p>How many objects and object reference would we have if the following code is executed?</p>
<p>Student first_st = new Student();</p>
<p>Student second_st = new Student();</p>
<p>Student third_st = second_st;</p>
"
170,"<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. How many of the items in this array will be found if they are searched for?</p>"
171,"
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
    this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends (i.e. depends on a factor external to this question)</p>
<p>n1.equals(n2)</p>
"
